,video_id,thumnail_url,features
46,E5orqSr_rok,https://i.ytimg.com/vi/E5orqSr_rok/default.jpg,"[[[[ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]]

  [[ 0.         0.         0.        ...  0.        30.634884
     0.       ]
   [ 6.9078503  0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]]]]"
47,IvJNHVruLsU,https://i.ytimg.com/vi/IvJNHVruLsU/default.jpg,"[[[[  0.          0.          0.        ...   0.          0.
      0.       ]
   [  0.          0.          0.        ...   0.          0.
     65.67738  ]
   [  0.          0.          0.        ...   0.          0.
     44.223587 ]]

  [[  0.          0.          0.        ...   0.          0.
     27.688946 ]
   [  0.          0.          0.        ...   0.          0.
    112.72047  ]
   [  0.          0.          0.        ...   6.2242355   0.
     95.07604  ]]]]"
48,3WEhsS9ybwk,https://i.ytimg.com/vi/3WEhsS9ybwk/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]]

  [[ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.       11.397137]
   [ 0.        0.        0.       ...  0.        0.       15.412186]]]]"
49,u7rael37cgM,https://i.ytimg.com/vi/u7rael37cgM/default.jpg,"[[[[ 0.         0.         0.        ...  0.         0.
    48.83944  ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
     5.7736926]]

  [[ 0.         0.         0.        ...  0.         0.
    81.318596 ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ... 16.792395   0.
     5.0322375]]]]"
50,BDjNG2LQRfM,https://i.ytimg.com/vi/BDjNG2LQRfM/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.       19.65251 ]
   [ 0.        0.        0.       ...  0.        0.       19.021076]
   [ 0.        0.        0.       ...  0.        0.       44.053913]]

  [[ 0.        0.        0.       ...  0.        0.        9.643996]
   [ 0.        0.        0.       ...  0.        0.       19.307621]
   [ 0.       53.49889   0.       ...  0.        0.       46.519466]]]]"
51,OiFpSnzctJ0,https://i.ytimg.com/vi/OiFpSnzctJ0/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.        5.452504]
   [ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]]

  [[ 0.        0.        0.       ...  0.        0.       23.007475]
   [ 0.        0.        9.714646 ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]]]]"
52,#NAME?,https://i.ytimg.com/vi/-Yph7mkUBIM/default.jpg,"[[[[0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]]

  [[0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]]]]"
53,iNRM7LJZzKw,https://i.ytimg.com/vi/iNRM7LJZzKw/default.jpg,"[[[[0.        0.        0.        ... 0.        0.        2.1255572]
   [0.        0.        0.        ... 0.        0.        0.       ]
   [0.        0.        0.        ... 0.        0.        0.       ]]

  [[7.1092834 0.        0.        ... 0.        0.        0.       ]
   [0.        0.        0.        ... 0.        0.        0.       ]
   [0.        0.        0.        ... 0.        0.        0.       ]]]]"
54,TqjwSNRDrO8,https://i.ytimg.com/vi/TqjwSNRDrO8/default.jpg,"[[[[ 0.          0.          0.         ...  0.          0.
     5.4027877 ]
   [ 0.          0.          0.         ...  0.          0.
     0.        ]
   [ 0.          0.          0.         ...  0.          0.
    36.566517  ]]

  [[ 0.          0.          0.         ...  0.          2.8888822
     0.        ]
   [ 0.          0.          0.12006617 ...  0.          0.
     0.        ]
   [ 0.          0.          0.         ...  0.          0.
     2.9949927 ]]]]"
55,m-MIiC94STA,https://i.ytimg.com/vi/m-MIiC94STA/default.jpg,"[[[[ 0.        0.       10.598304 ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]]

  [[ 0.        0.       14.828877 ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]]]]"
56,LxDm9T1TKvU,https://i.ytimg.com/vi/LxDm9T1TKvU/default.jpg,"[[[[ 0.          0.          0.         ...  0.          0.89108515
     0.        ]
   [ 0.          0.          0.         ...  0.          0.
     0.        ]
   [ 0.          0.          0.         ...  0.          0.
     0.        ]]

  [[ 0.          0.          0.         ...  0.6339267   0.
     0.        ]
   [ 0.          0.          0.         ...  0.          0.
    88.4535    ]
   [ 0.          0.          0.         ...  0.          0.
    71.92245   ]]]]"
57,UtoLFJeYWq0,https://i.ytimg.com/vi/UtoLFJeYWq0/default.jpg,"[[[[  0.           0.           0.         ...   0.
      0.           0.        ]
   [ 56.58051      0.           0.         ...   0.
      4.126216     0.        ]
   [  0.           0.           0.         ...   0.
      5.1889105    0.        ]]

  [[ 78.133095     5.960306     0.         ...   0.
      0.           0.        ]
   [167.8634       0.           4.1691356  ...   0.
      0.           0.        ]
   [  0.60551286   0.           0.         ...   0.
      0.           0.        ]]]]"
58,DOPswcaSsu8,https://i.ytimg.com/vi/DOPswcaSsu8/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.       38.81123 ]]

  [[ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.       93.359535]]]]"
59,6GHwG1y-NE0,https://i.ytimg.com/vi/6GHwG1y-NE0/default.jpg,"[[[[0.         0.         0.         ... 0.         0.
    5.6031594 ]
   [0.         0.         0.         ... 0.         0.
    0.        ]
   [0.         0.         0.         ... 0.         0.
    0.22102365]]

  [[0.         0.         0.         ... 0.         0.
    0.        ]
   [0.         0.         0.         ... 1.5433023  4.7478023
    0.        ]
   [0.         0.         0.         ... 0.         0.
    0.        ]]]]"
60,yifbHDn9BYs,https://i.ytimg.com/vi/yifbHDn9BYs/default.jpg,"[[[[0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]]

  [[0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]]]]"
